ICAO aircraft type designator,description,aircraft_model,role,engine_type,Engines
RF5,Landplane,Helwan RF-5 Sperber,General Aviation,Piston,1
RF5,Landplane,Sportavia-Putzer RF-5 Sperber,General Aviation,Piston,1
RF6,Landplane,Fournier RF-6,General Aviation,Piston,1
RF9,Landplane,ABS RF-9,Motor-Glider,Piston,1
RF9,Landplane,Eis RF-9,Motor-Glider,Piston,1
RF9,Landplane,Gomolzig RF-9,Motor-Glider,Piston,1
RJ1H,Landplane,Ai(R) RJ-100 Avroliner,Passenger Airliner,Jet,4
RJ1H,Landplane,Bae Systems Avro RJ-100,Passenger Airliner,Jet,4
RJ1H,Landplane,British Aerospace RJ-100,Passenger Airliner,Jet,4
RJ70,Landplane,Ai(R) RJ-70 Avroliner,Passenger Airliner,Jet,4
RJ70,Landplane,Bae Systems Avro RJ-70,Passenger Airliner,Jet,4
RJ70,Landplane,British Aerospace RJ-70,Passenger Airliner,Jet,4
RJ85,Landplane,Ai(R) RJ-85 Avroliner,Passenger Airliner,Jet,4
RJ85,Landplane,Bae Systems Avro RJ-85,Passenger Airliner,Jet,4
RJ85,Landplane,British Aerospace RJ-85,Passenger Airliner,Jet,4
RODS,Landplane,Aircraft Spruce DR-107 One Design,General Aviation,Piston,1
RODS,Landplane,Rihn DR-107 One Design,General Aviation,Piston,1
ROND,Landplane,Lombardi F-4 Rondone,General Aviation,Piston,1
ROND,Landplane,Pasotti F-7 Rondone 2,General Aviation,Piston,1
RV6,Landplane,Aiep Air Beetle,General Aviation,Piston,1
RV6,Landplane,AII AVA-202,General Aviation,Piston,1
RVAL,Helicopter,Atlas CSH-2 Rooivalk,Military Helicopter,Turboprop,2
RW3,Landplane,Rhein RW-3 Passat,General Aviation,Piston,1
S1,Landplane,Callair S-1,General Aviation,Piston,1
S1,Landplane,Interstate S-1 Cadet,General Aviation,Piston,1
S108,Landplane,Piper 108 Station Wagon,General Aviation,Piston,1
S210,Landplane,Aerospatiale SE-210 Caravelle,Passenger Airliner,Jet,2
S210,Landplane,Sud-Est SE-210 Caravelle,Passenger Airliner,Jet,2
S211,Landplane,Padc S-211,Military Trainer,Jet,1
S211,Landplane,Singapore S-211,Military Trainer,Jet,1
S223,Landplane,CASA C-223 Flamingo,General Aviation,Piston,1
S223,Landplane,Hispano 223 Flamingo,General Aviation,Piston,1
S223,Landplane,Messerschmitt-Bolkow 223 Flamingo,General Aviation,Piston,1
S223,Landplane,Siat 223 Flamingo,General Aviation,Piston,1
S2P,Landplane,Conair Firecat,Other military,Piston,2
S2P,Landplane,de Havilland Canada S-2 Tracker,Other military,Piston,2
S2T,Landplane,Conair Turbo Firecat,Other military,Turboprop,2
S2T,Landplane,Imp S-2 Turbo Tracker,Other military,Turboprop,2
S2T,Landplane,IAI S-2UP Turbo Tracker,Other military,Turboprop,2
S2T,Landplane,Marsh TS-2F Turbo Tracker,Other military,Turboprop,2
S330,Helicopter,Shanghai Sikorsky Shen 4,Helicopter,Turboprop,1
S52,Helicopter,Vat Hummingbird,Helicopter,Piston,1
S55T,Helicopter,Vat Elite,Helicopter,Turboprop,1
S55T,Helicopter,Westland WS-55 Whirlwind,Helicopter,Turboprop,1
S58P,Helicopter,Sud S-58,Military Helicopter,Piston,1
S61,Helicopter,Agusta AS-61A,Helicopter,Turboprop,2
S61,Helicopter,Helipro S-61 Shortsky,Helicopter,Turboprop,2
S61,Helicopter,Mitsubishi S-61A,Helicopter,Turboprop,2
S61,Helicopter,United Canada CH-124 Sea King,Helicopter,Turboprop,2
S61,Helicopter,Westland WS-61 Sea King,Helicopter,Turboprop,2
S61R,Helicopter,Agusta AS-61R,Military Helicopter,Turboprop,2
S65C,Helicopter,Aerospatiale SA-365C Dauphin 2,Helicopter,Turboprop,2
S65C,Helicopter,Airbus Helicopters AS365 N3+,Helicopter,Turboprop,2
S76,Helicopter,Keystone S-76,Helicopter,Turboprop,2
SAB2,Landplane,Keuthan Sabre 2,General Aviation,Piston,1
SACE,Landplane,Acro Sport Super Ace,General Aviation,Piston,1
SACE,Landplane,Corben Super Ace,General Aviation,Piston,1
SACE,Landplane,Pober Super Ace,General Aviation,Piston,1
SAH1,Landplane,Trago Mills SAH-1,General Aviation,Piston,1
SATA,Landplane,Hispano HA-200 Saeta,Military Trainer,Jet,2
SAVG,Landplane,Alms Calao,General Aviation,Piston,1
SAVG,Landplane,Russo Savage,General Aviation,Piston,1
SB35,Landplane,Valmet 35 Draken,Fighter,Jet,1
SB91,Landplane,De Schelde 91 Safir,Military Trainer,Piston,1
SBR1,Landplane,North American Rockwell T-39 Sabreliner,Business Jet,Jet,2
SBR1,Landplane,Rockwell NA-265 Sabre 40,Business Jet,Jet,2
SBR2,Landplane,Rockwell NA-265 Sabre 75,Business Jet,Jet,2
SC01,Landplane,FFT SC-01 Speed Canard,General Aviation,Piston,1
SCAM,Landplane,Agro-Copteros Scamp,General Aviation,Piston,1
SCOM,Landplane,Airdale Comet,_unknown_,Piston,1
SF2,Landplane,Hapi SF-2 Cygnet,General Aviation,Piston,1
SF2,Landplane,Sisler SF-2 Cygnet,General Aviation,Piston,1
SF25,Landplane,Umbra SF-25 Falke,Motor-Glider,Piston,1
SF25,Landplane,Loravia SF-25 Falke,Motor-Glider,Piston,1
SF25,Landplane,Sportavia-Putzer SF-25 Falke,Motor-Glider,Piston,1
SF25,Landplane,Vickers-Slingsby T-61 Venture,Motor-Glider,Piston,1
SF25,Landplane,Slingsby T.61 Venture,Motor-Glider,Piston,1
SF34,Landplane,Saab-Fairchild SF-340,Passenger Airliner,Turboprop,2
SGRA,Landplane,Prestige Storm Rally,General Aviation,Piston,1
SGRA,Landplane,Stormaircraft Rally,General Aviation,Piston,1
SHAW,Landplane,Armstrong Whitworth Sea Hawk,Fighter,Jet,1
SILH,Landplane,Lunds Tekniske SA-60 Silhouette,General Aviation,Piston,1
SJ30,Landplane,Emivest SJ-30,Business Jet,Jet,2
SJ30,Landplane,Sino Swearingen SJ-30,Business Jet,Jet,2
SKRA,Landplane,Synairgie Sky Ranger,Ultralight,Piston,1
SKYR,Landplane,Rearwin 175 Skyranger,General Aviation,Piston,1
SL90,Landplane,Interavia I-1,_unknown_,Piston,1
SL90,Landplane,Mapo I-1,_unknown_,Piston,1
SM92,Landplane,Moravan Zlin Z-400 Rhino,General Aviation,Piston,1
SM92,Landplane,Zlin Z-400 Rhino,General Aviation,Piston,1
SNAD,Gyrocopter,Calumet 636 Snobird Adventurer,General Aviation,Piston,1
SNAP,Landplane,Tecnam FR-100 Snap,Ultralight,Piston,1
SNGY,Landplane,Lancair T-90 Calima,Ultralight,Piston,1
SP20,Landplane,Micco SP-26,General Aviation,Piston,1
SP20,Landplane,Lanshe SP-26,General Aviation,Piston,1
SP20,Landplane,New Meyers SP-20,General Aviation,Piston,1
SQ2T,Landplane,KLS Composites SQ-2000,General Aviation,Piston,1
SQES,Landplane,Innovation SkyQuest,General Aviation,Piston,2
SRAI,Landplane,Great Plains Sonerai,General Aviation,Piston,1
SS2,Landplane,Rutan SpaceShipTwo,General Aviation,Rocket,1
SS2P,Landplane,North American Rockwell S-2 Ag Commander,Agricultural,Piston,1
SS2P,Landplane,Rockwell S-2 Thrush Commander,Agricultural,Piston,1
SS2P,Landplane,Serv-Aero S-2 Thrush (piston conversions),Agricultural,Piston,1
SS2P,Landplane,Snow S-2,Agricultural,Piston,1
SS2P,Landplane,Thrush S-2R-R1340 Trush 400,Agricultural,Piston,1
SS2P,Landplane,Aero Commander S-2 Ag Commander,Agricultural,Piston,1
SS2T,Landplane,Marsh Turbo Thrush,Agricultural,Turboprop,1
SS2T,Landplane,Serv-Aero S-2 Thrush (turboprop conversions),Agricultural,Turboprop,1
SS2T,Landplane,Terr-Mar Turbo Sea Thrush,Agricultural,Turboprop,1
SS2T,Landplane,Thrush S-2RHG-T34 Turbo Thrush 510,Agricultural,Turboprop,1
ST1,Landplane,Phillips ST-1 Speedtwin,General Aviation,Piston,2
ST30,Landplane,Panzl S-330,General Aviation,Piston,1
ST30,Landplane,Staudacher S-300,General Aviation,Piston,1
ST75,Landplane,Boeing 75 Kaydet,General Aviation,Piston,1
STAR,Landplane,Raytheon 2000 Starship,Passenger Airliner,Turboprop,2
STOR,Landplane,Slepcev SS-4 Storch,General Aviation,Piston,1
STRI,Landplane,St. Croix Sopwith Triplane,General Aviation,Piston,1
STRM,Landplane,SG Aviation Storm,General Aviation,Piston,1
SU27,Landplane,Hindustan Su-30,Fighter,Jet,2
SU27,Landplane,Shenyang J-11,Fighter,Jet,2
SUCO,Helicopter,Panha 2091,Military Helicopter,Turboprop,2
SV4,Landplane,AIAA SV-4,Military Trainer,Piston,1
SV4,Landplane,Nord SV-4,Military Trainer,Piston,1
SVNH,Landplane,Agro-Copteros MXP-740 Savannah,General Aviation,Piston,1
SVNH,Landplane,Aerotec MXP-740 Savannah,General Aviation,Piston,1
SW3,Landplane,Fairchild Merlin 3,General Aviation,Turboprop,2
SW3,Landplane,Fairchild Swearingen Merlin 3,General Aviation,Turboprop,2
SW4,Landplane,Fairchild Merlin 4,General Aviation,Turboprop,2
SW4,Landplane,Fairchild Swearingen Merlin 4,General Aviation,Turboprop,2
SW4,Landplane,Fairchild Dornier Merlin 4,General Aviation,Turboprop,2
SWAK,Landplane,Anglin Space Walker 1,_unknown_,Piston,1
SWOR,Landplane,Blackburn Swordfish,Bomber,Piston,1
SYMP,Landplane,OMF-100 Symphony,General Aviation,Piston,1
SZ9M,Landplane,Yalo SZD-9bis Bocian M-2000,Glider,Piston,1
T18,Landplane,Classic Sport S-18,General Aviation,Piston,1
T18,Landplane,Sunderland S-18,General Aviation,Piston,1
T2,Landplane,North American Rockwell T-2 Buckeye,Military Trainer,Jet,2
T2,Landplane,Rockwell T-2 Buckeye,Military Trainer,Jet,2
T211,Landplane,Ad Aerospace T-211,General Aviation,Piston,1
T211,Landplane,Dm Aerospace T-211,General Aviation,Piston,1
T211,Landplane,Indus T-211 Thorpedo,General Aviation,Piston,1
T211,Landplane,Starpac Phoenix Flyer,General Aviation,Piston,1
T211,Landplane,Taneja T-211,General Aviation,Piston,1
T211,Landplane,Venture T-211,General Aviation,Piston,1
T211,Landplane,Adams T-211,General Aviation,Piston,1
T250,Landplane,Anderson-Greenwood T-250 Aries,General Aviation,Piston,1
T28,Landplane,Hamilton T-28 Nomair,Military Trainer,Piston,1
T28,Landplane,Pacaero T-28 Nomad,Military Trainer,Piston,1
T28,Landplane,Pacific Airmotive T-28 Nomad,Military Trainer,Piston,1
T28,Landplane,Sud T-28 Fennec,Military Trainer,Piston,1
T33,Landplane,Canadair T-33 Silver Star,Other military,Jet,1
T33,Landplane,Kawasaki T-33,Other military,Jet,1
T34P,Landplane,CCF T-34 Mentor,Military Trainer,Piston,1
T34P,Landplane,Dinfia T-34 Mentor,Military Trainer,Piston,1
T34P,Landplane,Fuji T-34 Mentor,Military Trainer,Piston,1
T34T,Landplane,Fuji T-3Kai,Military Trainer,Turboprop,1
T411,Landplane,Aeroprogress T-411 Wolverine,General Aviation,Piston,1
T6,Landplane,CCF T-6 Harvard,Military Trainer,Piston,1
T6,Landplane,Noorduyn AT-16 Harvard,Military Trainer,Piston,1
TAA1,Landplane,Scaled TAA-1,General Aviation,Piston,1
TAIL,Landplane,Aircraft Spruce W-10 Tailwind,General Aviation,Piston,1
TAIL,Landplane,Ajep W-8 Tailwind,General Aviation,Piston,1
TAYA,Landplane,Taylor-Young A,General Aviation,Piston,1
TAYB,Landplane,Taylor-Young BC,General Aviation,Piston,1
TB20,Landplane,Shijiazhuang LE-500 Little Eagle,General Aviation,Piston,1
TB30,Landplane,Aerospatiale TB-30 Epsilon,Military Trainer,Piston,1
TB30,Landplane,Ogma TB-30 Epsilon,Military Trainer,Piston,1
TBM,Landplane,General Motors TBM Avenger,Bomber,Piston,1
TBM7,Landplane,TBM TBM-700,General Aviation,Turboprop,1
TEAL,Amphibian,Schweizer TSC-1 Teal,General Aviation,Piston,1
TEAL,Amphibian,Teal TSC-1 Teal,General Aviation,Piston,1
TEX2,Landplane,Raytheon T-6 Texan 2,Military Trainer,Turboprop,1
TF21,Landplane,Taylor Kits T-Kraft,General Aviation,Piston,1
TFK2,Landplane,Technoflug TFK-2 Carat,Motor-Glider,Piston,1
TFUN,Landplane,Twi Taifun,Motor-Glider,Piston,1
TIGR,Helicopter,Australian Aerospace EC-665 Tiger,Helicopter,Turboprop,2
TIGR,Helicopter,Airbus Helicopters Tiger,Helicopter,Turboprop,2
TIJU,Landplane,Tipsy Junior,General Aviation,Piston,1
TIPB,Landplane,Avions Fairey Tipsy B,General Aviation,Piston,1
TIPB,Landplane,Brian Allen Tipsy B,General Aviation,Piston,1
TJET,Landplane,Tam TAM-Jet,General Aviation,Jet,2
TLEG,Landplane,Performance Turbine Legend,General Aviation,Turboprop,1
TNAV,Landplane,Camair 480 Twin Navion,General Aviation,Piston,2
TNAV,Landplane,Riley 55 Twin Navion,General Aviation,Piston,2
TOR,Landplane,Aeritalia Tornado,Interceptor,Jet,2
TOR,Landplane,Tornado,Interceptor,Jet,2
TOR,Landplane,Tornado,Interceptor,Jet,2
TOR,Landplane,Tornado,Interceptor,Jet,2
TOUR,Landplane,Victa Airtourer,General Aviation,Piston,1
TOUR,Landplane,Millicer M-10 AirTourer,General Aviation,Piston,1
TR20,Landplane,Feugray TR-200,General Aviation,Piston,1
TRIS,Landplane,BN-2A Mk3 Trislander,Passenger Airliner,Piston,3
TRIS,Landplane,BN-2A Mk3 Trislander,Passenger Airliner,Piston,3
TRIS,Landplane,BN-2A Mk3 Trislander,Passenger Airliner,Piston,3
TSTR,Gyrocopter,Farrington Twinstar,General Aviation,Piston,1
TU16,Landplane,Xian H-6,Bomber,Jet,2
TUCA,Landplane,Aoi EMB-312 Tucano,Military Trainer,Turboprop,1
TUCA,Landplane,Short S-312 Tucano,Military Trainer,Turboprop,1
TVLB,Landplane,Bel-Aire 2000,General Aviation,Piston,1
UH1,Helicopter,Bell UH-1 Iroquois,Military Helicopter,Turboprop,1
UH1,Helicopter,Agusta AB-204,Helicopter,Turboprop,1
UH1,Helicopter,Dornier UH-1,Helicopter,Turboprop,1
UH1,Helicopter,Fuji UH-1,Helicopter,Turboprop,1
UH1,Helicopter,Global Huey 800,Helicopter,Turboprop,1
UH1,Helicopter,Panha Shabaviz 2-75,Helicopter,Turboprop,1
UH1,Helicopter,Unc Ultra Huey,Helicopter,Turboprop,1
UH1,Helicopter,AIDC UH-1,Helicopter,Turboprop,1
UH12,Helicopter,Fairchild Hiller UH-12E,Helicopter,Piston,1
UH12,Helicopter,Rogerson Hiller UH-12E Hauler,Helicopter,Piston,1
UL10,Landplane,10 Ultimate Competitor,General Aviation,Piston,1
UL20,Landplane,20 Ultimate Companion,General Aviation,Piston,1
UM18,Gyrocopter,Air & Space 18,General Aviation,Piston,1
UM18,Gyrocopter,Fairchild F-18 Flymobil,General Aviation,Piston,1
US1,Amphibian,Shin Meiwa US-1,Other military,Turboprop,4
V10,Landplane,North American Rockwell OV-10 Bronco,Reconnaissance,Turboprop,2
V10,Landplane,Rockwell OV-10 Bronco,Reconnaissance,Turboprop,2
VALI,Landplane,Convair V-54 Valiant,Military Trainer,Piston,1
VAMP,Landplane,F+W Emmen DH-100 Vampire,Fighter,Jet,1
VC10,Landplane,BAC VC-10,Passenger Airliner,Jet,4
VL3,Landplane,Gobosh G-800,Ultralight,Piston,1
VL3,Landplane,Kln VL-3 Flamingo,Ultralight,Piston,1
VL3,Landplane,Vanessa Air VL-3 Flamingo,Ultralight,Piston,1
VNOM,Landplane,F+W Emmen DH-112 Venom,Fighter,Jet,1
VO10,Landplane,North American Rockwell 100 Commander 100,General Aviation,Piston,1
VO10,Landplane,Volaircraft Volaire 10,General Aviation,Piston,1
VTOR,Landplane,Taneja AP-68TP-600 Viator,General Aviation,Turboprop,2
VTOR,Landplane,Vulcanair AP-68TP-600 Viator,General Aviation,Turboprop,2
VTUR,Landplane,Nuventure Venture,General Aviation,Piston,1
VW10,Landplane,Wilden VoWi-10,Ultralight,Piston,1
VWIT,Landplane,Aircraft Spruce V-Witt,General Aviation,Piston,1
WACF,Landplane,Classic Waco Classic,General Aviation,Piston,1
WACF,Landplane,Waco Ohio YMF,General Aviation,Piston,1
WACF,Landplane,Waco Classic YMF,General Aviation,Piston,1
WCAT,Landplane,General Motors FM Wildcat,Fighter,Piston,1
WDEX,Landplane,Radab Windex,Motor-Glider,Piston,1
WHIL,Landplane,Reflex WLAC-1 White Lightning,General Aviation,Piston,1
WHIT,Landplane,Phillips & Powis Whitney Straight,General Aviation,Piston,1
WHK2,Landplane,Rutan 348 White Knight Two,General Aviation,Jet,4
WHKN,Landplane,Rutan 318 White Knight,General Aviation,Jet,2
WILT,Landplane,Air-Light WT-01 Wild Thing,_unknown_,Piston,1
WILT,Landplane,Ultraleichtbau WT-01 Wild Thing,_unknown_,Piston,1
WOPU,Landplane,Woods Woody Pusher,General Aviation,Piston,1
X49,Helicopter,Sikorsky X-49 SpeedHawk,Helicopter,Turboprop,2
X55,Landplane,Fairchild Dornier X-55,Military Cargo,Jet,2
XNON,Gyrocopter,Celier Xenon,General Aviation,Piston,1
Y18T,Landplane,Technoavia SM-94,General Aviation,Piston,1
YK11,Landplane,Let C-11,Military Trainer,Piston,1
YK12,Landplane,Yak-12,General Aviation,Piston,1
YK18,Landplane,Nanchang CJ-5,Military Trainer,Piston,1
YK52,Landplane,Yak-52,Military Trainer,Piston,1
YK52,Landplane,Yak-52,Military Trainer,Piston,1
YS11,Landplane,Mitsubishi YS-11,Passenger Airliner,Turboprop,2
YURO,Landplane,SOKO-CNAIR J-22 Orao,Fighter,Jet,2
Z22,Landplane,Zlín Z-22 Junak,General Aviation,Piston,1
Z26,Landplane,Zlín Z-26 Trener,General Aviation,Piston,1
Z37P,Landplane,Zlín Z-37 Čmelák,Agricultural,Piston,1
Z42,Landplane,Zlín Z-42,General Aviation,Piston,1
Z43,Landplane,Zlín Z-43,General Aviation,Piston,1
Z50,Landplane,Zlín Z-50,General Aviation,Piston,1
ZEP2,Landplane,Aero Adventure Toucan,_unknown_,Piston,1
ZEP2,Landplane,Arnet Pereyra Zephyr 2,_unknown_,Piston,1
A002,Gyrocopter,Irkut A-002,General Aviation,Piston,1
A1,Landplane,Douglas A-1 Skyraider,Other military,Piston,1
A10,Landplane,Fairchild Republic A-10 Thunderbolt II,Other military,Jet,2
A109,Helicopter,AgustaWestland AW109,Helicopter,Turboprop,2
A119,Helicopter,AgustaWestland AW119 Koala,Helicopter,Turboprop,1
A122,Landplane,Aerotec A-122 Uirapuru,Military Trainer,Piston,1
A124,Landplane,Antonov An-124 Ruslan,Cargo Airliner,Jet,4
A129,Helicopter,Agusta A-129 Mangusta,Military Helicopter,Turboprop,2
A139,Helicopter,AgustaWestland AW139,Helicopter,Turboprop,2
A140,Landplane,Antonov An-140,Passenger Airliner,Turboprop,2
A148,Landplane,Antonov An-148,Passenger Airliner,Jet,2
A149,Helicopter,AgustaWestland AW149,Helicopter,Turboprop,2
A158,Landplane,Antonov An-158,Passenger Airliner,Jet,2
A16,Landplane,Aviadesign A-16 Sport Falcon,General Aviation,Piston,1
A169,Helicopter,AgustaWestland AW169,Helicopter,Turboprop,2
A189,Helicopter,AgustaWestland AW189,Helicopter,Turboprop,2
A19,Landplane,Aeropract A-19,General Aviation,Piston,1
A19N,Landplane,Airbus A319neo,Passenger Airliner,Jet,2
A20,Landplane,Douglas A-20 Havoc,Bomber,Piston,2
A205,Gyrocopter,MAI-205,General Aviation,Piston,1
A20N,Landplane,Airbus A320neo,Passenger Airliner,Jet,2
A21,Landplane,Aeropract A-21 Solo,_unknown_,Piston,1
A210,Landplane,Aquila A-210,General Aviation,Piston,1
A211,Landplane,Alfa-M A-211,_unknown_,Piston,1
A21N,Landplane,Airbus A321neo,Passenger Airliner,Jet,2
A22,Landplane,Sadler A-22 Piranha,_unknown_,Piston,1
A223,Landplane,MAI-223 Kityonok,General Aviation,Piston,1
A225,Landplane,Antonov An-225 Mriya,Cargo Airliner,Jet,6
A23,Landplane,Aeropract A-23 Dragon,_unknown_,Piston,1
A25,Amphibian,Aeropract A-25 Breeze,_unknown_,Piston,1
A251,Amphibian,Aviatik Alliance Aleks-251,General Aviation,Piston,2
A27,Landplane,Aeropract A-27,_unknown_,Piston,1
A270,Landplane,Aero Ae-270 Ibis,General Aviation,Turboprop,1
A29,Landplane,Avantage A-29,_unknown_,Piston,1
A2RT,Helicopter,Kazan Ansat 2RT,Helicopter,Turboprop,2
A3,Landplane,Douglas A-3 Skywarrior,Bomber,Jet,2
A306,Landplane,Airbus A300-600,Passenger Airliner,Jet,2
A30B,Landplane,Airbus A300,Passenger Airliner,Jet,2
A31,Landplane,Avantage A-31 Spectrum,_unknown_,Piston,1
A310,Landplane,Airbus A310,Passenger Airliner,Jet,2
A318,Landplane,Airbus A318,Passenger Airliner,Jet,2
A319,Landplane,Airbus A319,Passenger Airliner,Jet,2
A320,Landplane,Airbus A320,Passenger Airliner,Jet,2
A321,Landplane,Airbus A321,Passenger Airliner,Jet,2
A33,Landplane,Aeropract A-33,_unknown_,Piston,1
A332,Landplane,Airbus A330-200,Passenger Airliner,Jet,2
A333,Landplane,Airbus A330-300,Passenger Airliner,Jet,2
A337,Landplane,Airbus A330-700 Beluga XL,Cargo Airliner,Jet,2
A338,Landplane,Airbus A330-800neo,Passenger Airliner,Jet,2
A339,Landplane,Airbus A330-900neo,Passenger Airliner,Jet,2
A342,Landplane,Airbus A340-200,Passenger Airliner,Jet,4
A343,Landplane,Airbus A340-300,Passenger Airliner,Jet,4
A345,Landplane,Airbus A340-500,Passenger Airliner,Jet,4
A346,Landplane,Airbus A340-600,Passenger Airliner,Jet,4
A35,Landplane,Avantage A-35 Scanner,_unknown_,Piston,1
A358,Landplane,Airbus A350-800 XWB,Passenger Airliner,Jet,2
A359,Landplane,Airbus A350-900 XWB,Passenger Airliner,Jet,2
A35K,Landplane,Airbus A350-1000 XWB,Passenger Airliner,Jet,2
A37,Landplane,Cessna A-37 Dragonfly,Other military,Jet,2
A388,Landplane,Airbus A380,Passenger Airliner,Jet,4
A3ST,Landplane,Airbus A300-600ST Beluga,Cargo Airliner,Jet,4
A4,Landplane,Douglas A-4 Skyhawk,Other military,Jet,1
A400,Landplane,Airbus A400M Atlas,Military Cargo,Turboprop,4
A5,Amphibian,Icon A-5,General Aviation,Piston,1
A50,Landplane,Beriev A-50,Reconnaissance,Jet,4
A500,Landplane,Adam A500 CarbonAero,General Aviation,Piston,2
A504,Landplane,Avro 504,Fighter,Piston,1
A6,Landplane,Grumman A-6 Intruder,Other military,Jet,2
A600,Helicopter,Rotorway A-600 Talon,Helicopter,Piston,1
A660,Landplane,Thrush S-2R-660 Turbo Thrush,Agricultural,Turboprop,1
A7,Landplane,LTV A-7 Corsair II,Other military,Jet,1
A700,Landplane,Adam A700 AdamJet,General Aviation,Piston,2
A743,Landplane,Antonov An-74-300,Passenger Airliner,Jet,2
A748,Landplane,Hawker Siddeley HS.748,Passenger Airliner,Turboprop,2
A890,Landplane,Aviatika MAI-890,Ultralight,Piston,1
A9,Landplane,Aero Commander A-9 Ag Commander,Agricultural,Piston,1
A900,Landplane,Aviatika MAI-900 Acrobat,Ultralight,Piston,1
A910,Landplane,Aviatika MAI-910 Interfly,_unknown_,Piston,1
AA1,Landplane,Grumman American AA-1 Trainer,General Aviation,Piston,1
AA37,Landplane,Aeropract A-37,_unknown_,Piston,2
AA5,Landplane,Grumman American AA-5 Tiger,General Aviation,Piston,1
AAT3,Landplane,Aero AT-3,General Aviation,Piston,1
AAT4,Landplane,Aero AT-4,General Aviation,Piston,1
AB11,Landplane,Aero Boero AB-115,General Aviation,Piston,1
AB15,Landplane,Aero Boero AB-150,General Aviation,Piston,1
AB18,Landplane,Aero Boero AB-180,General Aviation,Piston,1
AB95,Landplane,Aero Boero AB-95,General Aviation,Piston,1
AC10,Gyrocopter,FD-Composites AC-10 Arrow-Copter,General Aviation,Piston,1
AC11,Landplane,Rockwell Commander 112,General Aviation,Piston,1
