easa_code,serial_number,eval_type,aircraft_man,aircraft_type,sim_man,qualification,location
DE-3A-129,S/N AL20-07,R,Not Applicable,Generic Single Engine Piston,"ASG, Belgium",Type II,Wels
DE-3A-131A,A250-77,R,Not Applicable,Generic Multi Engine Piston,Diamond Simulation GmbH & Co KG,Type II,Feldkirchen
DE-3A-131A,A250-77,R,Not Applicable,EC 135 P + variants,Frasca Internatinal Inc.,3,Pori
DE-3A-131B,A250-77,R,Not Applicable,A350-900 + variants,CAE,D,Paris CDG
DE-3A-131B,A250-77,R,Not Applicable,Beluga + variants,CAE,D,Frankfurt/Main
DE-3A-133,S/N 2212015,R,Not Applicable,A310-300,CAE,Special Category,Toulouse Airport
DE-3A-134,GA-D228-212NG,I,Not Applicable,A310-300,CAE,Special Category,Toulouse Airport
DE-3A-135,Alsim A250-90,R,Not Applicable,A300-F4 600 + variants,CAE,Special Category,Toulouse Airport
DE-3A-140,SN108,R,Not Applicable,ERJ 190-300  E2,CAE,D,Schiphol Airport
DE-3A-140,SN108,R,Not Applicable,A350-900 + variants,CAE,D,Paris CDG
DE-3A-141,S/N: A-A320-000,R,Not Applicable,A310-300,CAE,Special Category,Toulouse Airport
DE-3A-143,41-60049-C-3EX,I,ELITE,A310-300,CAE,Special Category,Toulouse Airport
DE-3A-144A,2311023,R,Not Applicable,A300-F4 600 + variants,CAE,Special Category,Toulouse Airport
